kingdom	phylum	class	order	family	genus	Species
Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus agrarius
Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus flavicollis
Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lutra	Lutra lutra
Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lutra	Lutra lutra
Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes martes
Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes martes
Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela putorius
Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela putorius
Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Sorex	Sorex araneus
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Plecotus	Plecotus auritus
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus pygmaeus
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Nyctalus	Nyctalus noctula
Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Meles	Meles meles
Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Sciurus	Sciurus vulgaris
Animalia	Chordata	Mammalia	Rodentia	Sciuridae	Sciurus	Sciurus vulgaris
Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Arvicola	Arvicola amphibius
Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus flavicollis
Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus flavicollis
Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Myodes	Myodes glareolus
Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Myodes	Myodes glareolus
Animalia	Chordata	Mammalia	Rodentia	Gliridae	Eliomys	Eliomys quercinus
Animalia	Chordata	Mammalia	Rodentia	Cricetidae	Arvicola	Arvicola amphibius
Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus agrarius
Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus agrarius
Animalia	Chordata	Mammalia	Erinaceomorpha	Erinaceidae	Erinaceus	Erinaceus europaeus
Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Sorex	Sorex araneus
Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Sorex	Sorex araneus
Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Sorex	Sorex minutus
Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Sorex	Sorex minutus
Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Neomys	Neomys fodiens
Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Neomys	Neomys fodiens
Animalia	Chordata	Mammalia	Soricomorpha	Talpidae	Talpa	Talpa europaea
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus nathusii
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Vespertilio	Vespertilio murinus
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Nyctalus	Nyctalus noctula
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis mystacinus
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Vespertilio	Vespertilio murinus
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus pipistrellus
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis daubentonii
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus nathusii
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis brandtii
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Plecotus	Plecotus auritus
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Plecotus	Plecotus auritus
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis dasycneme
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Plecotus	Plecotus auritus
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis daubentonii
Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis nattereri
Animalia	Chordata	Mammalia	Carnivora	Canidae	Vulpes	Vulpes vulpes
