occurrenceID	basisOfRecord	eventDate	DM ID	 ID number	DNAmark ID	Institution ID/ ZM no/ Voucher	Danish name	English name	Species name	NCBI Scientific name if different from species name	Stored in	Type (skin, tissue, bone, hair, organ)	Return rest of sample	Sample storage DNAmark	Photo for DNAmark	Institution (Voucher )	Voucher stored as	DNA sample/ Tissue collection code	Collecting_Year	Collecting_Month	Collecting_Day	Collected by	Country	countryCode	Locality	Geographical exact (CoordinatePrecisioninMeters)	decimalLatitude (UTM: N)	decimalLongitude (UTM: E)	geodeticDatum	Identified by (Validator)	Registred by	Sampled at	Sampling_Year	Sampling_Month	Sampling_Day	Sampled by	individualCount	organismQuantity	organismQuantityType	Taxon ID (GBIF) ?	NCBI Taxon ID	scientificName	key GBIF	kingdom	phylum	class	order	family	genus	Species	matchType	confidence	status	taxonRank	Corrected by Christina Lehmkuhl Noer	K-mer file	Mitochondrial/chloroplast genome filename	Genome sequences filename	Alcohol	Skin	Skull	Skeleton	Mounted	Mummy	Freezer	Tissue Coll. Code	Collecting code	Acronym 	Notes	LatLongVariable	P	CatFrom	CatTo	P-gr.	Cruise	Station 	Haul	Gear	N/S	W/E	Depth (meters)	Wire (m)	Further loc. Data	Zmcoll	Etiket	Lab ID	Quantity	fauna district	host	stage	available	Alt Cat Number	Type Status	Type/Count\n[imported]	Type specimen stored in formaldehyd	HABITAT	Isolator	Isol. Date	Personal code 	Isoaltion sample	Isolation unit	Isolation method	STATE	Medium	Temp	DEP	DEPD	Authentic	Toxic	Class	Remarks	subsampled by 	validationStatus	taxon_id	taxonFullName	taxonDanishName	taxonRedListCategory	decimalLatitude	decimalLongitude	accuracy	substrate	vegetationType	associatedTaxa	ecologyNotes	notes	Legit	URI	NO	HAB	DEL	Collected at	Notes	Evt V nummer	oprindelse af materiale	Square	Position
	PreservedSpecimen		DM01	1	DMM01	M17488	Brandmus	Striped field mouse	Apodemus agrarius		DMSO	Tissue	Yes	Frozen	NO	ZM		MOA-04-14.02.2006	2006	2	12		Denmark	DK	Rykkerupvej 2, 4990 Sakskøbing	eksakt koordinat	0	0	WGS84 -?	MA	PK	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Apodemus agrarius (Pallas, 1771)	2437761	Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus agrarius	EXACT	98	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM02	2	DMM02	M15581	Halsbåndmus	Yellow-necked mouse	Apodemus flavicollis		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH-02-04.10.2001	2001	9	27		Denmark	DK	Ny Hjortspringvej 3m 3500 Værløse	eksakt koordinat	55,754244	12,414647	WGS84 -?	HJB	LAK	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Apodemus flavicollis (Melchior, 1834)	2437756	Animalia	Chordata	Mammalia	Rodentia	Muridae	Apodemus	Apodemus flavicollis	EXACT	98	ACCEPTED	SPECIES					0	0	0	0	0	0	1																																																																							
	PreservedSpecimen		DM03	3	DMM03	M7152	Odder	Eurasian otter	Lutra lutra		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH-01- 11.02.2002	2000	6	5		Denmark	DK	Pindstrup Mosebrug, Lille Vildmose	område	56,881	10,1287	WGS84 -?		PK	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Lutra lutra (Linnaeus, 1758)	2433753	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lutra	Lutra lutra	EXACT	98	ACCEPTED	SPECIES					0	1	1	1	0	0	0																																																																							
	PreservedSpecimen		DM04	4	DMM04	M7190	Odder	Eurasian otter	Lutra lutra		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH-02- 12.02.2002	2001	4	29		Denmark	DK	A55 ved Ryå, lige NV for Åbybro	område	57.170327	9.715932	WGS84 -?	MA	LAK	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Lutra lutra (Linnaeus, 1758)	2433753	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Lutra	Lutra lutra	EXACT	98	ACCEPTED	SPECIES					0	1	0	1	0	0	0																																																																							
	PreservedSpecimen		DM05	5	DMM05	M7137	Skovmår	European pine marten	Martes martes		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH-02-06.03.2001	2000	6	17		Denmark	DK	Stepping - Frørup på P-plads.	kvadrat	55.364949	9.389935	WGS84 -?	MA	MU	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Martes martes (Linnaeus, 1758)	5218878	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes martes	EXACT	98	ACCEPTED	SPECIES					0	1	1	1	0	0	0																																																																							
	PreservedSpecimen		DM06	6	DMM06	M7208	Skovmår	European pine marten	Martes martes		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH-02-08.08.2001	2001	6	30		Denmark	DK	Motorvejen Kbh. - Rødby i retning mod Kbh. lige syd for det sted hvor Slimmingevej krydser motorvejen v. Sonnerup Byskov NV for Algestrup ml. Haslev og Køge.	eksakt koordinat	55.385716	12.095662	WGS84 -?	MA	MU	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Martes martes (Linnaeus, 1758)	5218878	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Martes	Martes martes	EXACT	98	ACCEPTED	SPECIES					0	0	1	1	0	0	0																																																																							
	PreservedSpecimen		DM07	7	DMM07	M7475	Ilder	European polecat	Mustela putorius		Ethanole	Tissue	Yes	Frozen	NO	ZM		MOA-01-10.10.2002	2002	10	9		Denmark	DK	Rødbymotorvejen i det nordgående spor ved km pæl 60.0, Bregentved Dyrehave.	eksakt koordinat	55.305118	12.029756	WGS84 -?	MA	MU	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Mustela putorius Linnaeus, 1758	5218911	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela putorius	EXACT	98	ACCEPTED	SPECIES					0	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM08	8	DMM08	M7397	Ilder	European polecat	Mustela putorius		Ethanole	Tissue	Yes	Frozen	NO	ZM		MoA-03-04.04.2002	2002	2	22		Denmark	DK	Syrenvej 22, 4050 Skibby	eksakt koordinat	55.753688	11.95625	WGS84 -?	LAK	LAK	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Mustela putorius Linnaeus, 1758	5218911	Animalia	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela putorius	EXACT	98	ACCEPTED	SPECIES					0	0	0	0	0	0	1																																																																							
	PreservedSpecimen		DM09	9	DMM09	M2154	Almindelig spidsmus	Common shrew	Sorex araneus		Ethanole	Tissue	Yes	Frozen	NO	ZM		AH-05-01.03.2001	1993	7	27		Denmark	DK	Solbjærgsvinget, Birkerød	område	0	0	WGS84 -?	MA	PK	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Sorex araneus Linnaeus, 1758	8316400	Animalia	Chordata	Mammalia	Soricomorpha	Soricidae	Sorex	Sorex araneus	EXACT	98	ACCEPTED	SPECIES					0	0	0	1	0	0	0																																																																							
	PreservedSpecimen		DM10	10	DMM10	M5114	Langøret flagermus	Brown long-eared bat	Plecotus auritus		Ethanole	Tissue	Yes	Frozen	NO	ZM		MOA02.20.07.2004	2004	2	14		Denmark	DK	Stivænget 1, ø.f. Stensved, fundet død i lade	eksakt koordinat	54.99781	12.038459	WGS84 -?	MA	HJB	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Plecotus auritus (Linnaeus, 1758)	5218507	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Plecotus	Plecotus auritus	EXACT	98	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM11	11	DMM11	M4968	Dværgflagermus	Soprano pipistrelle	Pipistrellus pygmaeus		Ethanole	Tissue	Yes	Frozen	NO	ZM		MoA01-13.05.2003	2003	5	11		Denmark	DK	Under fuglekasse på gæstehytte på adressen Sverregårdsvej 13, 4621 Gadstrup.	eksakt koordinat	0	0	WGS84 -?	MA	PK	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Pipistrellus pygmaeus (Leach, 1825)	5707150	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Pipistrellus	Pipistrellus pygmaeus	EXACT	98	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
	PreservedSpecimen		DM12	12	DMM12	M5106	Brunflagermus	Common noctule	Nyctalus noctula		Ethanole	Tissue	Yes	Frozen	NO	ZM		MOA12.19.07.2004	2003	9	0		Denmark	DK	Koldinghus, Museet. Fundet af medsrbejder	eksakt koordinat	55.49221	9.47531	WGS84 -?	MA	HJB	ZM	2017	4	25	Daniel Klingberg Johansson	1	1	individuals			Nyctalus noctula (Schreber, 1774)	5218524	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Nyctalus	Nyctalus noctula	EXACT	98	ACCEPTED	SPECIES					1	0	0	0	0	0	0																																																																							
