basisOfRecord;DNAmarkID;InstitutionID;DanishName;EnglishName;ScientificName;VoucherConditionBeforeSampling;SampleType;InstitutionVoucher;CollectingYear;CollectingMonth;CollectingDay;CollectedBy;Country;countryCode;Locality;GeographicalExact;decimalLatitude (UTM: N);decimalLongitude (UTM: E);geodeticDatum;IdentifiedBy_Validator;GBIF_scientificName;key_GBIF;kingdom;phylum;class;order;family;genus;species;subspecies_variant;GenBankAccession;Fastafile_name
PreservedSpecimen;DM682;AAU-53;Lysegrøn bruskigle;Glossiphonia complanata;Glossiphonia complanata;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;5;0;Per Gørtz;Denmark;DK;Lavringe Å (Avl.4), Station 673;Area, Coordinate from google maps;55.564325;11.981339;0;Per Gørtz;Glossiphonia complanata (Linnaeus, 1758);2307956;Animalia;Annelida;Clitellata;Rhynchobdellida;Glossiphoniidae;Glossiphonia;Glossiphonia complanata;0;#N/A;Glossiphonia_complanata_DM682.fasta
PreservedSpecimen;DM687;AAU-146;Andeigle;Theromyzon tessulatum;Theromyzon tessulatum;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;4;0;Per Gørtz;Denmark;DK;Lavringe Å (Avl.4), Station 673;Area, Coordinate from google maps;55.564325;11.981339;0;Per Gørtz;Theromyzon tessulatum (O.F.Müller, 1774);2307911;Animalia;Annelida;Clitellata;Rhynchobdellida;Glossiphoniidae;Theromyzon;Theromyzon tessulatum;0;#N/A;Theromyzon_tessulatum_DM687.fasta
PreservedSpecimen;DM1166;0;Lægeigle;Medicinal leech;Hirudo medicinalis;Ethanol maybe previously formalin;Tissue from rear end of animal;Natural History Museum of Denmark;1985;6;4;U. Røen;Denmark;DK;Dam ved Duegård, Dueodde, Røen SSt. 5b;Area, Coordinate from google maps;54.995765;15.088553;0;Pia Baagøe;Hirudo medicinalis Linnaeus, 1758;2308887;Animalia;Annelida;Clitellata;Arhynchobdellida;Hirudinidae;Hirudo;Hirudo medicinalis;0;#N/A;Hirudo_medicinalis_DM1166.fasta
PreservedSpecimen;DM1167;0;Lægeigle;Medicinal leech;Hirudo medicinalis;Ethanol maybe previously formalin;Tissue from rear end of animal;Natural History Museum of Denmark;1958;8;19;Birger Jensen;Denmark;DK;Danse Storedam ved Hillerød, Store Donse Dam? ;Area, Coordinate from google maps;55.895664;12.402251;0;JO;Hirudo medicinalis Linnaeus, 1758;2308887;Animalia;Annelida;Clitellata;Arhynchobdellida;Hirudinidae;Hirudo;Hirudo medicinalis;0;#N/A;Hirudo_medicinalis_DM1167.fasta
PreservedSpecimen;DM1168;0;Hesteigle;Horse-lech;Haemopis sanguisuga;Ethanol maybe previously formalin;Tissue from rear end of animal;Natural History Museum of Denmark;1984;8;1;Pia Baagøe;Denmark;DK;Gnåmyn ved Gudhjem, Bornholm;Area, Coordinate from google maps;55.223892;14.896406;0;Pia Baagøe;Haemopis sanguisuga (Linnaeus, 1758);4411067;Animalia;Annelida;Clitellata;Arhynchobdellida;Haemopidae;Haemopis;Haemopis sanguisuga;0;#N/A;Haemopis_sanguisuga_DM1168.fasta
PreservedSpecimen;DM1169;0;Hesteigle;Horse-lech;Haemopis sanguisuga;Ethanol maybe previously formalin;Tissue from rear end of animal;Natural History Museum of Denmark;1981;7;17;T. Hatting;Denmark;DK;Kasjlo, N. Samsø;Area, Coordinate from google maps;55.925928;10.60146;0;Pia Baagøe;Haemopis sanguisuga (Linnaeus, 1758);4411067;Animalia;Annelida;Clitellata;Arhynchobdellida;Haemopidae;Haemopis;Haemopis sanguisuga;0;#N/A;Haemopis_sanguisuga_DM1169.fasta
PreservedSpecimen;DM1198;AAU-11;Stribet hundeigle;Erpobdella lineata;Erpobdella lineata;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;10;0;Per Gørtz;Denmark;DK;Usserød Å, Station 6398, Kokkedal, Sjælland;Area, Coordinate from google maps;55.905831;12.495504;0;Per Gørtz;Erpobdella de Blainville, 1818;2308840;Animalia;Annelida;Clitellata;Arhynchobdellida;Erpobdellidae;Erpobdella;Erpobdella lineata;0;#N/A;Erpobdella_lineata_DM1198.fasta
PreservedSpecimen;DM1199;AAU-12;Hundeigle;Erpobdella octoculata;Erpobdella octoculata;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;10;0;Per Gørtz;Denmark;DK;Usserød Å, Station 6398, Kokkedal, Sjælland;Area, Coordinate from google maps;55.905831;12.495504;0;Per Gørtz;Erpobdella octoculata (Linnaeus, 1758);2308846;Animalia;Annelida;Clitellata;Arhynchobdellida;Erpobdellidae;Erpobdella;Erpobdella octoculata;0;MT410851;Erpobdella_octoculata_DM1199.fasta
PreservedSpecimen;DM1200;AAU-13;Ensfarvet Hundeigle;Erpobdella testacea;Erpobdella testacea;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;10;0;Per Gørtz;Denmark;DK;Usserød Å, Station 6398, Kokkedal, Sjælland;Area, Coordinate from google maps;55.905831;12.495504;0;Per Gørtz;Erpobdella testacea (Savigny, 1822);4411080;Animalia;Annelida;Clitellata;Arhynchobdellida;Erpobdellidae;Erpobdella;Erpobdella testacea;0;MT584166;Erpobdella_testacea_DM1200.fasta
PreservedSpecimen;DM1201;AAU-14;Skjoldbruskigle;Helobdella stagnalis;Helobdella stagnalis;0;DNA extraction of specimen;Aalborg University with Martin Hesselsøe;2016;4;0;Per Gørtz;Denmark;DK;T.T. Grønholt Å, Grønholt, Sjælland;Area, Coordinate from google maps;55.945401;12.384939;0;Per Gørtz;Helobdella stagnalis (Linnaeus, 1758);2307936;Animalia;Annelida;Clitellata;Rhynchobdellida;Glossiphoniidae;Helobdella;Helobdella stagnalis;0;MT483656;Helobdella_stagnalis_DM1201.fasta
