Species	Grid_ID	Num_Seq	Num_Muts	GD_Pi	BP
Adenomera_andreae	933	2	41	0.0635658914728682	1312
Adenomera_andreae	1380	2	60	0.0988467874794069	1274
Adenomera_andreae	1381	2	36	0.0593080724876442	1214
Adenomera_andreae	1467	2	51	0.0840197693574959	1274
Adenomera_andreae	1468	2	70	0.104947526236882	1334
Adenomera_andreae	1471	2	49	0.0807248764415156	1274
Adenomera_andreae	1559	9	142	0.0753293040464940	5763
Adenomera_andreae	1560	4	94	0.0802597054026529	2608
Adenomera_andreae	1562	3	67	0.0735859417902252	1881
Adenomera_andreae	1651	2	15	0.0247116968698517	1274
Adenomera_andreae	1738	3	62	0.0624687656171914	2001
Adenomera_andreae	1742	3	31	0.0340472267984624	1821
Adenomera_andreae	1832	220	106	0.0207306756718895	133540
Adenomera_heyeri	1832	2	40	0.0658978583196046	1274
Adenomera_hylaedactyla	1203	2	0	0	1274
Adenomera_hylaedactyla	1287	3	4	0.00439319055464031	1881
Adenomera_hylaedactyla	1291	7	98	0.0590990689639882	4549
Adenomera_hylaedactyla	1381	5	55	0.0417848736257901	3215
Adenomera_hylaedactyla	1473	4	52	0.0429785107446277	2668
Adenomera_hylaedactyla	1559	4	17	0.0127436281859070	2668
Adenomera_hylaedactyla	1560	2	44	0.0659670164917541	1334
Adenomera_hylaedactyla	1562	4	54	0.0404130718825102	2608
Adenomera_hylaedactyla	1742	3	31	0.0308684208143045	1941
Adenomera_hylaedactyla	1743	2	32	0.0479760119940030	1334
Adenomera_hylaedactyla	1830	3	2	0.00219659527732015	1881
Agalychnis_granulosa	1387	2	5	0.0129870129870130	770
Allobates_brunneus	1652	11	6	0.00642266824085006	4235
Allobates_caeruleodactylus	1470	4	2	0.00259740259740260	1540
Allobates_conspicuus	1467	2	0	0	770
Allobates_femoralis	1378	4	19	0	1956
Allobates_femoralis	1379	24	42	0.0207709669755287	14640
Allobates_femoralis	1467	3	0	0	1155
Allobates_femoralis	1469	20	47	0.0252804141501294	12200
Allobates_femoralis	1470	10	17	0.00859744990892532	6100
Allobates_femoralis	1557	2	127	0.159147869674185	1600
Allobates_femoralis	1560	21	95	0.0563934426229509	12810
Allobates_femoralis	1561	12	53	0.0434426229508196	7320
Allobates_femoralis	1562	3	1	0.00173160173160173	1155
Allobates_femoralis	1736	3	3	0.00519480519480520	1155
Allobates_nidicola	1470	3	0	0	1155
Allobates_trilineatus	1378	2	1	0.00259740259740260	770
Allobates_zaparo	1736	2	1	0.00259740259740260	770
Alsodes_gargola	568	7	3	0.000848095000152484	4609
Alytes_maurus	2654	2	1	0.00286532951289398	698
Alytes_obstetricans	2834	2	2	0.00519480519480520	770
Alytes_obstetricans	2835	8	21	0.0194274922784951	4520
Alytes_obstetricans	2836	5	7	0.00802292263610315	1889
Alytes_obstetricans	2923	2	0	0	770
Ambystoma_barbouri	2724	4	0	0	4558
Ambystoma_texanum	2815	4	0	0	4558
Ameerega_altamazonica	1467	2	3	0.0109090909090909	553
Ameerega_bassleri	1466	23	72	0.0282483387058206	16767
Ameerega_bilinguis	1647	2	1	0.00259740259740260	770
Ameerega_hahneli	1288	2	90	0.116129032258065	1575
Ameerega_hahneli	1378	4	1	0.00173160173160173	1907
Ameerega_hahneli	1466	6	108	0.0637806814257089	4995
Ameerega_hahneli	1467	4	8	0.0116883116883117	1540
Ameerega_hahneli	1470	4	0	0	1540
Ameerega_hahneli	1557	2	20	0.0250312891113892	1601
Ameerega_petersi	1467	3	15	0.0484401737527972	641
Ameerega_pongoensis	1466	4	6	0.00462326879203453	3276
Ameerega_smaragdina	1377	2	4	0.00883002207505519	1202
Ameerega_trivittata	1288	2	0	0	770
Ameerega_trivittata	1377	3	18	0.0150407950361666	2400
Ameerega_trivittata	1466	6	31	0.0188280414207592	4761
Ameerega_trivittata	1467	4	15	0.0194805194805195	1540
Ameerega_trivittata	1470	2	0	0	770
Ameerega_trivittata	1557	5	49	0.0261218837121118	3912
Amphiuma_pholeter	2544	7	18	0.0136054421768707	4557
Amphiuma_pholeter	2545	4	25	0.0192012288786482	2604
Amphiuma_tridactylum	2543	4	80	0.0624679979518689	2604
Amphiuma_tridactylum	2633	2	0	0	1302
