Species	Grid_ID	Num_Seq	Num_Muts	GD_Pi	BP
Aethalops_alecto	1784	17	24	0.00564061240934730	11169
Allactaga_sibirica	2864	7	13	0.00768282960063782	4599
Allactaga_sibirica	2954	2	6	0.00913242009132420	1314
Allocricetulus_curtatus	2864	2	0	0	1314
Ametrida_centurio	1741	23	41	0.0111658575029629	15111
Ametrida_centurio	1830	2	9	0.0136986301369863	1314
Ametrida_centurio	1831	117	117	0.0120307679924281	76351
Ametrida_centurio	1920	8	16	0.00837469969611634	5255
Ametrida_centurio	1921	2	10	0.0152207001522070	1314
Anoura_caudifer	1646	9	14	0.00701843395907323	5913
Anoura_caudifer	1736	3	1	0.00101471334348047	1971
Anoura_caudifer	1741	4	3	0.00228310502283105	2628
Anoura_caudifer	1830	17	1	0.000318715486171454	11040
Anoura_caudifer	1831	18	9	0.00278700195148873	11636
Anoura_caudifer	1832	2	7	0.0106544901065449	1314
Anoura_geoffroyi	1741	7	7	0.00374373024978181	4543
Anoura_geoffroyi	1830	26	20	0.00611279938138458	16826
Anoura_geoffroyi	1831	38	21	0.00710968130913566	24880
Anoura_geoffroyi	1832	2	1	0.00152207001522070	1314
Anoura_geoffroyi	2093	5	6	0.00494405665501893	3254
Anoura_latidens	1830	5	1	0.000962892608432413	3202
Anourosorex_squamipes	2411	3	7	0.00621816336884830	1939
Anourosorex_squamipes	2502	4	7	0.00634195839675292	2628
Antilocapra_americana	3077	2	1	0.00152207001522070	1314
Antrozous_pallidus	2628	2	2	0.00303951367781155	1316
Apodemus_agrarius	2591	7	7	0.00310077519379845	4515
Apodemus_agrarius	2592	4	1	0.000775193798449612	2580
Apodemus_agrarius	2770	2	2	0.00307692307692308	1300
Apodemus_agrarius	2957	15	14	0.00598278208628285	9846
Apodemus_agrarius	3047	14	14	0.00674059578169167	9198
Apodemus_chevrieri	2591	4	6	0.00276104134992586	4968
Apodemus_chevrieri	2592	5	4	0.00279069767441860	3225
Apodemus_draco	2591	12	26	0.0171952078928823	7740
Apodemus_draco	2594	17	8	0.00340364107579663	11167
Apodemus_flavicollis	2931	2	3	0.00455927051671733	1336
Apodemus_latronum	2323	2	31	0.0250201775625504	2478
Apodemus_peninsulae	2681	8	0	0	4842
Apodemus_peninsulae	2770	14	17	0.00809805579036348	9100
Apodemus_peninsulae	2957	47	40	0.00724495212081684	30831
Apodemus_peninsulae	2959	2	6	0.00913242009132420	1314
Apodemus_peninsulae	3045	4	4	0.00381605251646578	2624
Apodemus_peninsulae	3047	20	10	0.00264703480548056	13130
Apodemus_peninsulae	3129	2	2	0.00304414003044140	1314
Apodemus_peninsulae	3136	8	5	0.00332226494407367	5252
Apodemus_peninsulae	3141	2	1	0.00152207001522070	1314
Apodemus_peninsulae	3225	3	0	0	1971
Arielulus_aureocollaris	2321	3	6	0.00609292051824628	1970
Arielulus_circumdatus	2053	6	2	0.00101471334348047	3943
Artibeus_amplus	1741	6	27	0.0146409967428476	3936
Artibeus_amplus	1829	2	4	0.00612557427258806	1310
Artibeus_amplus	1831	24	17	0.00457172479209408	15768
Artibeus_anderseni	1646	14	11	0.00303040626026676	9195
Artibeus_aztecus	2093	9	3	0.00237880794850704	5898
Artibeus_bogotensis	1741	9	18	0.00811331673588298	5895
Artibeus_bogotensis	1830	5	13	0.0110510791570946	3272
Artibeus_bogotensis	1831	61	34	0.00843793365192311	39919
Artibeus_bogotensis	1832	7	5	0.00289918098137276	4599
Artibeus_bogotensis	1919	2	2	0.00307219662058372	1308
Artibeus_cinereus	1741	48	153	0.0236206267010990	31530
Artibeus_cinereus	1831	60	119	0.00888589708871444	39359
Artibeus_cinereus	1921	67	23	0.00258205157468871	43935
Artibeus_concolor	1741	15	42	0.0151984243350336	9852
Artibeus_concolor	1831	65	108	0.0164559198998690	42615
Artibeus_concolor	1832	2	2	0.00305343511450382	1310
Artibeus_concolor	1921	8	25	0.0148459436640447	5245
Artibeus_fimbriatus	1023	3	10	0.0101843706217214	1968
Artibeus_gnomus	1646	22	24	0.00877539471379860	14434
Artibeus_gnomus	1741	8	88	0.0433270001052024	5241
Artibeus_gnomus	1830	3	3	0.00304414003044140	1971
Artibeus_gnomus	1831	116	64	0.00846158709668173	75869
Artibeus_gnomus	1832	2	3	0.00458015267175573	1310
Artibeus_gnomus	1920	3	1	0.00101471334348047	1971
Artibeus_gnomus	1921	15	31	0.0101041353585552	9848
Artibeus_jamaicensis	1915	2	0	0	1314
Artibeus_jamaicensis	1916	8	6	0.00228310502283105	5256
Artibeus_jamaicensis	2005	4	15	0.0117252671574826	2609
Artibeus_jamaicensis	2093	16	16	0.00440313663981388	10510
Artibeus_jamaicensis	2183	28	21	0.00448696829983601	18392
Artibeus_jamaicensis	2273	37	34	0.00950478509582187	23484
Artibeus_jamaicensis	2274	6	16	0.0126839167935058	3942
Artibeus_lituratus	1023	39	31	0.00585916142347220	25425
Artibeus_lituratus	1646	27	22	0.00561407935392767	17667
Artibeus_lituratus	1741	25	32	0.00666159309994928	16425
Artibeus_lituratus	1830	12	16	0.00599667399515193	7866
Artibeus_lituratus	1831	336	118	0.00694406035448212	220376
Artibeus_lituratus	1832	4	10	0.00786402841197362	2628
Artibeus_lituratus	1916	5	12	0.00821917808219178	3285
Artibeus_lituratus	1920	66	53	0.00646154971789758	43222
Artibeus_lituratus	1921	19	19	0.00574514945676981	12459
Artibeus_lituratus	2005	2	4	0.00608828006088280	1314
Artibeus_lituratus	2093	5	6	0.00517503805175038	3285
Artibeus_lituratus	2182	3	0	0	1971
Artibeus_lituratus	2183	44	44	0.00706077227335157	28907
Artibeus_lituratus	2273	60	42	0.00659909910447026	38878
Artibeus_obscurus	1645	3	1	0.00101471334348047	1971
Artibeus_obscurus	1646	41	16	0.00587679351000367	26820
Artibeus_obscurus	1741	32	21	0.00698475841778968	21023
Artibeus_obscurus	1830	18	5	0.00175087792600551	11826
Artibeus_obscurus	1831	399	57	0.00509601361696801	261201
Artibeus_obscurus	1832	15	12	0.00635332274357685	9853
Artibeus_obscurus	1920	13	7	0.00302312760980687	8522
Artibeus_obscurus	1921	56	15	0.00297297831544411	36792
Artibeus_phaeotis	1916	6	114	0.0578386605783866	3942
Artibeus_phaeotis	2093	2	0	0	1308
Artibeus_phaeotis	2183	57	21	0.00171734707094714	37435
Artibeus_phaeotis	2273	18	7	0.00190038617658220	11033
Artibeus_phaeotis	2274	18	9	0.00247690839139299	11811
Artibeus_toltecus	1915	4	9	0.00684931506849315	2628
Artibeus_toltecus	1916	5	1	0.000608828006088280	3285
Artibeus_toltecus	2093	16	9	0.00220933598528354	10507
Artibeus_watsoni	1736	9	15	0.00678454096211799	5882
Artibeus_watsoni	1915	3	1	0.00103842159916926	1956
Artibeus_watsoni	1916	4	9	0.00837138508371385	2628
Artibeus_watsoni	2005	9	8	0.00339244748600251	5899
Aselliscus_stoliczkanus	2231	2	0	0	1312
Aselliscus_stoliczkanus	2232	18	15	0.0104643330449100	11804
Aselliscus_stoliczkanus	2321	3	42	0.0427147334450444	1969
Aselliscus_stoliczkanus	2322	2	143	0.224842767295598	1293
Aselliscus_stoliczkanus	2410	4	1	0.000771787030124979	2599
Aselliscus_stoliczkanus	2411	10	4	0.00145442245898867	6570
Aselliscus_stoliczkanus	2412	11	9	0.00426179604261796	7227
Aselliscus_stoliczkanus	2502	7	5	0.00220020709631402	4576
Baiomys_musculus	2093	2	0	0	1311
Baiomys_musculus	2182	4	4	0.00329781836631152	2628
Baiomys_musculus	2270	5	3	0.00184049512706332	3275
Balantiopteryx_io	2183	13	0	0	8409
Balantiopteryx_plicata	2093	10	6	0.00369267966100688	6564
Balionycteris_maculata	1781	7	6	0.00362397622671595	4599
Balionycteris_maculata	1784	7	14	0.00753787055156918	4599
Balionycteris_maculata	1871	4	2	0	1541
Bandicota_indica	2045	11	1	0.000500163129016454	7202
Bandicota_indica	2140	2	0	0	1286
Bandicota_indica	2141	3	2	0.00182831191328979	1726
Bandicota_indica	2231	2	12	0.0183206106870229	1310
Bandicota_indica	2321	2	1	0.00164473684210526	1263
Bandicota_savilei	2140	2	80	0.138169257340242	1234
Barbastella_barbastellus	2270	2	1	0.00179856115107914	1112
Barbastella_barbastellus	2927	2	1	0.00153609831029186	1308
Berylmys_berdmorei	2231	4	20	0.0160305343511450	2620
Berylmys_bowersi	2231	3	1	0.00102092904543134	1963
Berylmys_bowersi	2232	5	7	0.00360545097387203	3485
Blarina_brevicauda	2905	4	16	0.0129532246003063	2604
Blarina_brevicauda	2906	8	12	0.00606140069041122	5139
Blarina_brevicauda	2909	16	14	0.00548295374961482	10507
Blarina_brevicauda	2910	11	8	0.00526841838288644	6901
Blarina_brevicauda	2992	2	1	0.00189753320683112	1184
Blarinella_griselda	2776	2	8	0.0135363790186125	1182
Callosciurus_prevostii	1784	2	103	0.157733537519142	1310
Caluromys_philander	1115	2	2	0.00304414003044140	1314
Canis_latrans	2719	2	4	0.00259403372243839	3084
Canis_latrans	2811	2	0	0	3084
Canis_latrans	2994	2	12	0.0255319148936170	1042
Canis_latrans	3076	2	15	0.0263620386643234	1145
Caracal_caracal	2811	2	0	0	374
Cardioderma_cor	1585	13	11	0.00437107286422355	8541
Cardioderma_cor	1586	14	11	0.00688324258487347	9180
Carollia_brevicauda	1645	3	23	0.0233384069000507	1971
Carollia_brevicauda	1646	42	48	0.00913889465905599	27500
Carollia_brevicauda	1736	4	14	0.0140807741133890	2572
Carollia_brevicauda	1741	5	24	0.0191780821917808	3285
Carollia_brevicauda	1830	5	14	0.0116725677453800	3271
Carollia_brevicauda	1831	99	59	0.0116231019124841	64648
Carollia_brevicauda	1832	13	11	0.00413463687834403	8511
Carollia_brevicauda	1916	5	6	0.00449398937657255	3216
Carollia_brevicauda	1920	29	32	0.00555612744762593	19001
Carollia_brevicauda	1921	21	34	0.00731438179606008	13754
Carollia_castanea	1645	2	2	0.00304414003044140	1314
Carollia_castanea	1646	32	22	0.00654730490570135	20944
Carollia_castanea	1736	6	11	0.00680151835764933	3941
Carollia_castanea	1915	4	3	0.00228310502283105	2628
Carollia_castanea	1916	7	36	0.0281321098436033	4598
Carollia_castanea	2005	5	2	0.00152836165548339	3276
Carollia_castanea	2006	3	30	0.0304414003044140	1971
Carollia_perspicillata	1023	20	22	0.0113946462423124	13115
Carollia_perspicillata	1646	28	28	0.00606785942720203	18343
Carollia_perspicillata	1736	3	5	0.00509532167423040	1967
Carollia_perspicillata	1741	114	73	0.00673721519988730	74448
Carollia_perspicillata	1829	10	15	0.00575004227972265	6570
Carollia_perspicillata	1830	46	44	0.00698318213674984	30169
Carollia_perspicillata	1831	574	144	0.00681662902095162	374510
Carollia_perspicillata	1832	5	8	0.00380710856195320	4169
Carollia_perspicillata	1915	2	1	0.00152207001522070	1314
Carollia_perspicillata	1916	9	11	0.00423243296918468	5910
Carollia_perspicillata	1919	10	15	0.00598360149352621	6544
Carollia_perspicillata	1920	94	71	0.00704400159613279	61441
Carollia_perspicillata	1921	132	73	0.00693480303551377	86488
Carollia_perspicillata	2005	4	2	0.00152361683434186	2627
Carollia_perspicillata	2183	4	4	0.00329975189021297	2627
Carollia_perspicillata	2273	11	15	0.0162724855531066	6238
Carollia_sowelli	1915	4	5	0.00444878152567061	2591
Carollia_sowelli	2005	4	11	0.00837138508371385	2628
Carollia_sowelli	2182	2	0	0	1314
Carollia_sowelli	2183	83	19	0.00126703669267229	54439
Carollia_sowelli	2273	22	2	0.000277085038379912	14437
Carollia_subrufa	2093	20	8	0.00229654446511814	13125
Carollia_subrufa	2182	3	1	0.00101471334348047	1971
Caryomys_eva	2591	2	0	0	1296
Caryomys_eva	2681	11	10	0.00454604692156132	6454
Caryomys_eva	2770	5	2	0.00123076923076923	3250
Castor_canadensis	2815	2	3	0.00457317073170732	1313
Castor_canadensis	3202	2	0	0	3084
Castor_fiber	3111	3	0	0	2124
Cebus_apella	3021	3	4	0.00376647834274953	2124
Centronycteris_maximiliani	1831	5	5	0.00407052137029912	3040
Centurio_senex	2093	13	29	0.0100449741029124	8535
Centurio_senex	2183	29	35	0.00829005309816777	19051
Cephalophus_callipygus	1669	24	23	0.0127446439034255	14713
Cephalophus_dorsalis	1669	10	3	0.00126630244070232	6371
Cephalophus_leucogaster	1669	11	8	0.00292662969555597	7147
Cephalophus_natalensis	862	2	1	0.00151975683890578	1316
Cephalophus_nigrifrons	1669	7	7	0.00309056494113397	4541
Cercopithecus_cephus	1669	6	2	0.00155038759689922	3477
Cercopithecus_nictitans	1669	6	7	0.00571413580975616	3816
Cercopithecus_pogonias	1669	4	4	0.00310077519379845	2580
Cervus_albirostris	2591	3	5	0.00506585612968592	1974
Cervus_albirostris	2770	2	2	0.00303951367781155	1316
