Species	Grid_ID	Num_Seq	Num_Muts	GD_Pi	BP
Acomys_johannis	2029	3	17	0.0103690149435804	3279
Acomys_percivali	1675	9	27	0.00840701600971371	9820
Acomys_wilsoni	1585	8	19	0.00687217715893614	9000
Acomys_wilsoni	1675	2	0	0	2205
Aethomys_chrysophilus	862	5	9	0.0130150509791228	1814
Aethomys_chrysophilus	1494	3	42	0.0245614035087719	3420
Aethomys_chrysophilus	1584	2	7	0.00614574187884109	2279
Aethomys_chrysophilus	1585	4	16	0.00703504653652912	4556
Aethomys_ineptus	862	15	14	0.00780420939877472	5537
Aethomys_kaiseri	1312	3	11	0.00646187267881423	3414
Aethomys_namaquensis	770	9	14	0.00814251601549255	5381
Aethomys_namaquensis	771	7	53	0.0378900496709687	4160
Aethomys_namaquensis	772	2	2	0.00326264274061990	1244
Aethomys_namaquensis	860	7	8	0.00537589438290290	4278
Aethomys_namaquensis	861	19	75	0.0335764062565210	11824
Aethomys_namaquensis	862	25	88	0.0331112247851837	15413
Aethomys_namaquensis	863	6	51	0.0358365932751069	4220
Aethomys_namaquensis	951	8	49	0.0344730323989043	4878
Aethomys_namaquensis	952	15	57	0.0323204055143782	9195
Aethomys_namaquensis	953	10	35	0.0175529512860874	5681
Aethomys_namaquensis	1042	3	13	0.0139522980390006	1832
Aethomys_namaquensis	1043	15	48	0.0269776877030232	9022
Aethomys_namaquensis	1132	2	10	0.0167224080267559	1216
Ailurus_fulgens	2591	5	3	0.00294840294840295	2035
Ailurus_fulgens	2868	2	0	0	804
Akodon_montensis	931	2	1	0.00124843945068664	1602
Alouatta_belzebul	1477	3	0	0	3295
Alouatta_guariba	933	5	1	0.000644585118195135	4689
Alouatta_guariba	1024	2	10	0.0105485232067511	1896
Alouatta_guariba	1115	5	19	0.0110517162732353	4680
Andalgalomys_olrogi	929	2	5	0.0136239782016349	783
Anourosorex_squamipes	2320	2	4	0.00350877192982456	2280
Anourosorex_yamashinai	2416	2	8	0.00701754385964912	2280
Aotus_azarae	1470	4	69	0.0313207207005501	4557
Aotus_azarae	1563	2	21	0.0184534270650264	2277
Aotus_trivirgatus	933	2	2	0.00175438596491228	2280
Aplodontia_rufa	2634	2	0	0	819
Aplodontia_rufa	2715	22	45	0.0209669513184614	14178
Aplodontia_rufa	2716	3	1	0.00159489633173844	1254
Aplodontia_rufa	2804	19	3	0.000411079979585129	11740
Aplodontia_rufa	2805	23	45	0.0171299570169384	12028
Aplodontia_rufa	2806	28	10	0.00314223646791269	15423
Aplodontia_rufa	2895	370	136	0.0201154946292033	221595
Aplodontia_rufa	2985	62	22	0.00240390066316551	45410
Apodemus_agrarius	2777	3	7	0.00526315789473684	2669
Apodemus_agrarius	2959	23	40	0.00956266734667860	17112
Apodemus_agrarius	3049	3	18	0.0111008325624422	3243
Apodemus_agrarius	3121	2	1	0.00209643605870021	954
Apodemus_alpicola	2928	3	2	0.00182149362477231	2401
Apodemus_argenteus	2688	4	4	0.00663349917081260	2346
Apodemus_argenteus	2689	5	45	0.0198481277821419	4224
Apodemus_argenteus	2690	5	8	0.00374170812603648	2746
Apodemus_argenteus	2779	5	18	0.0131677140612726	3486
Apodemus_argenteus	2780	9	30	0.0133417839034493	5094
Apodemus_argenteus	2871	6	6	0.00696517412935323	3150
Apodemus_chevrieri	2591	4	0	0	4560
Apodemus_flavicollis	2750	4	18	0.00934616167447208	3865
Apodemus_flavicollis	2751	5	10	0.00443220493781788	4651
Apodemus_flavicollis	2752	2	12	0.0124223602484472	1938
Apodemus_flavicollis	2753	2	9	0.00933609958506224	1936
Apodemus_flavicollis	2835	5	10	0.00482911171512390	4793
Apodemus_flavicollis	2839	3	9	0.00631231557506522	2874
Apodemus_flavicollis	2841	14	58	0.0102693209986198	13362
Apodemus_flavicollis	2842	4	18	0.00951853398837024	3865
Apodemus_flavicollis	2843	2	6	0.00725513905683192	1795
Apodemus_flavicollis	2846	2	46	0.0623306233062331	1710
Apodemus_flavicollis	2926	4	21	0.0117072799343370	3768
Apodemus_flavicollis	2927	2	6	0.00819672131147541	1613
Apodemus_flavicollis	2930	5	23	0.00868421052631579	5700
Apodemus_flavicollis	2934	4	5	0.00510204081632653	2054
Apodemus_flavicollis	3018	3	13	0.0120508506725385	2484
Apodemus_flavicollis	3019	5	16	0.00693782794046718	4807
Apodemus_flavicollis	3022	11	14	0.00890538033395177	4312
Apodemus_flavicollis	3023	118	40	0.00697319157915770	55172
Apodemus_flavicollis	3027	2	4	0.00414937759336100	1936
Apodemus_flavicollis	3112	3	11	0.00726571959169780	2898
Apodemus_flavicollis	3118	2	2	0.00225479143179256	1774
Apodemus_flavicollis	3202	2	6	0.00618556701030928	1942
Apodemus_mystacinus	2662	2	9	0.00939457202505219	1924
Apodemus_mystacinus	2753	2	7	0.00726895119418484	1933
Apodemus_peninsulae	2777	4	12	0.00643274853801170	3822
Apodemus_peninsulae	3049	4	15	0.00689972401103956	4348
Apodemus_peninsulae	3051	3	5	0.00292397660818713	3420
Apodemus_peninsulae	3221	8	39	0.0126566416040100	9120
Apodemus_ponticus	2847	2	22	0.0800000000000000	550
Apodemus_ponticus	2935	6	4	0.00411718131433096	2526
Apodemus_speciosus	2598	13	37	0.0134093785458672	7440
Apodemus_speciosus	2688	3	12	0.0298507462686567	1944
Apodemus_speciosus	2689	6	5	0.00547263681592040	2412
Apodemus_speciosus	2690	8	18	0.0120824449182658	3216
Apodemus_speciosus	2779	3	5	0.00829187396351575	1206
Apodemus_speciosus	2780	33	65	0.0100281677966834	34668
Apodemus_speciosus	2781	47	50	0.0104782243830110	18278
Apodemus_speciosus	2870	3	1	0.00165837479270315	1206
Apodemus_speciosus	2871	8	18	0.0177683013503909	3954
